airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
SpiceJet,1/05/2019,Chennai,Kolkata,08:20,10:35,2h 15m,non-stop,No info,3597
Air Asia,01/03/2019,Banglore,New Delhi,23:25,02:10 02 Mar,2h 45m,non-stop,Red-eye flight,10873
Vistara,6/04/2019,Banglore,Delhi,09:45,12:35,2h 50m,non-stop,No info,5613
Jet Airways,9/05/2019,Delhi,Cochin,20:55,04:25 10 May,7h 30m,1 stop,In-flight meal not included,12373
IndiGo,24/03/2019,Banglore,New Delhi,01:30,04:15,2h 45m,non-stop,No info,4777
Jet Airways,12/06/2019,Delhi,Cochin,14:00,12:35 13 Jun,22h 35m,1 stop,In-flight meal not included,10262
Multiple carriers,9/05/2019,Delhi,Cochin,06:00,19:15,13h 15m,1 stop,No info,8266
Jet Airways,1/04/2019,Kolkata,Banglore,20:00,20:45 02 Apr,24h 45m,1 stop,In-flight meal not included,7064
IndiGo,9/06/2019,Delhi,Cochin,06:50,22:30,15h 40m,1 stop,No info,6442
Jet Airways,24/05/2019,Banglore,Delhi,19:50,22:50,3h,non-stop,In-flight meal not included,6144
Jet Airways,15/06/2019,Delhi,Cochin,13:00,19:00,6h,1 stop,No info,14714
Vistara,12/05/2019,Delhi,Cochin,14:40,17:50,3h 10m,non-stop,No info,6216
Jet Airways,18/05/2019,Kolkata,Banglore,17:00,23:35,6h 35m,1 stop,No info,14151
Air India,9/03/2019,Delhi,Cochin,23:00,19:15 10 Mar,20h 15m,1 stop,No info,11260
SpiceJet,3/04/2019,Banglore,Delhi,09:30,12:20,2h 50m,non-stop,No info,3971
Jet Airways,6/06/2019,Delhi,Cochin,15:00,04:25 07 Jun,13h 25m,1 stop,In-flight meal not included,10262
Multiple carriers,3/06/2019,Delhi,Cochin,11:25,19:00,7h 35m,1 stop,No info,10877
IndiGo,15/04/2019,Delhi,Cochin,06:50,16:10,9h 20m,1 stop,No info,6442
Jet Airways,3/04/2019,Mumbai,Hyderabad,07:05,08:30,1h 25m,non-stop,No info,8040
Jet Airways,27/05/2019,Delhi,Cochin,14:00,19:00,5h,1 stop,In-flight meal not included,12898
IndiGo,27/03/2019,Delhi,Cochin,04:45,13:20,8h 35m,1 stop,No info,7048
Vistara,24/03/2019,Banglore,New Delhi,21:10,00:05 28 Mar,2h 55m,non-stop,No info,4353
Vistara,3/05/2019,Banglore,Delhi,17:00,19:35,2h 35m,non-stop,No info,5613
Jet Airways,27/03/2019,Delhi,Cochin,19:15,04:25 28 Mar,9h 10m,1 stop,In-flight meal not included,6540
SpiceJet,1/06/2019,Banglore,Delhi,21:10,00:05 02 Jun,2h 55m,non-stop,No check-in baggage included,3573
Air India,6/03/2019,Delhi,Cochin,05:55,07:40 07 Mar,25h 45m,2 stops,No info,15428
Jet Airways,15/03/2019,Banglore,New Delhi,07:00,13:15,6h 15m,1 stop,In-flight meal not included,9134
Air India,6/05/2019,Banglore,Delhi,10:00,12:45,2h 45m,non-stop,No info,5228
IndiGo,6/06/2019,Kolkata,Banglore,20:25,23:10,2h 45m,non-stop,No info,4804
IndiGo,1/03/2019,Kolkata,Banglore,14:20,16:55,2h 35m,non-stop,No info,6565
Multiple carriers,24/06/2019,Delhi,Cochin,13:00,01:30 25 Jun,12h 30m,1 stop,No info,13377
Vistara,9/03/2019,Delhi,Cochin,14:55,17:50,2h 55m,non-stop,No info,6741
Multiple carriers,9/06/2019,Delhi,Cochin,12:50,01:30 10 Jun,12h 40m,1 stop,No info,6795
Jet Airways,27/06/2019,Delhi,Cochin,05:30,19:00,13h 30m,2 stops,No info,13014
Multiple carriers,3/03/2019,Delhi,Cochin,17:00,01:35 04 Mar,8h 35m,1 stop,No info,17073
IndiGo,18/05/2019,Delhi,Cochin,20:25,01:30 19 May,5h 5m,1 stop,No info,6069
Jet Airways,12/06/2019,Kolkata,Banglore,14:05,19:50,5h 45m,1 stop,No info,13626
Multiple carriers,12/06/2019,Delhi,Cochin,04:55,12:35,7h 40m,1 stop,No info,10678
Vistara,6/03/2019,Mumbai,Hyderabad,21:55,22:55 07 Mar,25h,1 stop,No info,12395
SpiceJet,9/04/2019,Kolkata,Banglore,09:00,11:25,2h 25m,non-stop,No info,3873
Multiple carriers,1/06/2019,Delhi,Cochin,12:50,21:00,8h 10m,1 stop,No info,7005
Jet Airways,27/05/2019,Delhi,Cochin,19:30,12:35 28 May,17h 5m,2 stops,No info,15129
Jet Airways,27/03/2019,Delhi,Cochin,05:25,19:45 28 Mar,38h 20m,2 stops,No info,11664
IndiGo,6/06/2019,Delhi,Cochin,20:25,01:30 07 Jun,5h 5m,1 stop,No info,5054
IndiGo,1/04/2019,Kolkata,Banglore,15:30,18:05,2h 35m,non-stop,No info,4174
Jet Airways,3/06/2019,Delhi,Cochin,19:45,12:35 04 Jun,16h 50m,1 stop,No info,14714
Jet Airways,21/03/2019,Delhi,Cochin,16:10,18:50 22 Mar,26h 40m,2 stops,No info,13180
Air India,15/03/2019,Banglore,New Delhi,08:15,08:50 16 Mar,24h 35m,1 stop,No info,5521
Air India,1/06/2019,Mumbai,Hyderabad,19:30,20:45,1h 15m,non-stop,No info,3100
Air India,15/06/2019,Delhi,Cochin,13:15,19:15 16 Jun,30h,2 stops,No info,12182
IndiGo,3/06/2019,Delhi,Cochin,05:05,12:10,7h 5m,1 stop,No info,6818
Air India,01/03/2019,Banglore,New Delhi,05:50,22:10,16h 20m,2 stops,No info,13576
Multiple carriers,12/06/2019,Delhi,Cochin,11:40,19:15,7h 35m,1 stop,No info,8266
Jet Airways,21/05/2019,Kolkata,Banglore,17:00,14:25 22 May,21h 25m,1 stop,No info,11467
IndiGo,3/03/2019,Kolkata,Banglore,05:30,08:20,2h 50m,non-stop,No info,4778
Air India,6/06/2019,Kolkata,Banglore,05:50,20:25,14h 35m,2 stops,No info,10991
Jet Airways,3/06/2019,Delhi,Cochin,08:00,19:00,11h,1 stop,In-flight meal not included,10577
Air India,6/03/2019,Mumbai,Hyderabad,11:35,19:25 07 Mar,31h 50m,2 stops,No info,17926
Jet Airways,1/04/2019,Kolkata,Banglore,18:55,19:50 02 Apr,24h 55m,1 stop,In-flight meal not included,7064
Jet Airways,21/05/2019,Kolkata,Banglore,06:30,04:40 22 May,22h 10m,1 stop,In-flight meal not included,8586
Vistara,6/03/2019,Mumbai,Hyderabad,08:45,19:55,11h 10m,1 stop,No info,12395
Jet Airways,6/04/2019,Delhi,Cochin,02:15,12:35,10h 20m,1 stop,In-flight meal not included,5177
Jet Airways,18/05/2019,Delhi,Cochin,14:35,04:25 19 May,13h 50m,2 stops,In-flight meal not included,13848
SpiceJet,21/03/2019,Banglore,New Delhi,09:35,12:30,2h 55m,non-stop,No check-in baggage included,4839
Jet Airways,3/04/2019,Delhi,Cochin,02:15,12:35,10h 20m,1 stop,In-flight meal not included,5177
IndiGo,21/06/2019,Kolkata,Banglore,21:25,00:05 22 Jun,2h 40m,non-stop,No info,4804
Vistara,24/06/2019,Chennai,Kolkata,07:45,10:00,2h 15m,non-stop,No info,3687
Jet Airways,24/03/2019,Kolkata,Banglore,19:45,04:45 25 Mar,9h,1 stop,No info,13759
Jet Airways,06/03/2019,Banglore,New Delhi,08:00,23:00,15h,1 stop,No info,16736
SpiceJet,21/05/2019,Kolkata,Banglore,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841
IndiGo,6/05/2019,Banglore,Delhi,22:10,01:00 07 May,2h 50m,non-stop,No info,3419
IndiGo,27/03/2019,Mumbai,Hyderabad,09:10,10:40,1h 30m,non-stop,No info,4392
IndiGo,12/06/2019,Mumbai,Hyderabad,01:40,03:10,1h 30m,non-stop,No info,2754
Jet Airways,21/03/2019,Banglore,New Delhi,09:45,14:25,4h 40m,1 stop,In-flight meal not included,7280
Jet Airways,06/03/2019,Banglore,New Delhi,11:40,18:25,6h 45m,1 stop,No info,19225
Jet Airways,9/05/2019,Kolkata,Banglore,06:30,18:15,11h 45m,1 stop,No info,14781
Jet Airways,1/05/2019,Kolkata,Banglore,20:25,18:00 02 May,21h 35m,1 stop,In-flight meal not included,9314
Jet Airways,15/05/2019,Kolkata,Banglore,16:30,16:20 16 May,23h 50m,1 stop,In-flight meal not included,10844
Multiple carriers,18/05/2019,Delhi,Cochin,07:00,19:00,12h,1 stop,No info,10197
Vistara,6/03/2019,Chennai,Kolkata,07:05,09:20,2h 15m,non-stop,No info,7414
Jet Airways,9/05/2019,Delhi,Cochin,10:00,04:25 10 May,18h 25m,1 stop,In-flight meal not included,12373
Jet Airways,9/03/2019,Delhi,Cochin,16:00,04:25 10 Mar,12h 25m,1 stop,No info,16289
IndiGo,3/04/2019,Delhi,Cochin,21:05,00:20 04 Apr,3h 15m,non-stop,No info,5021
Jet Airways,15/05/2019,Kolkata,Banglore,09:35,18:00,8h 25m,1 stop,No info,13067
Multiple carriers,6/05/2019,Delhi,Cochin,13:00,21:00,8h,1 stop,No info,13727
IndiGo,27/05/2019,Banglore,Delhi,04:00,06:50,2h 50m,non-stop,No info,3943
Vistara,18/06/2019,Chennai,Kolkata,07:05,09:20,2h 15m,non-stop,No info,3687
Vistara,09/03/2019,Banglore,New Delhi,21:10,00:05 13 Mar,2h 55m,non-stop,No info,7240
Jet Airways,9/03/2019,Delhi,Cochin,00:20,04:25 10 Mar,28h 5m,1 stop,No info,15029
SpiceJet,21/05/2019,Delhi,Cochin,08:45,13:15,4h 30m,1 stop,No check-in baggage included,5158
Jet Airways,12/03/2019,Banglore,New Delhi,22:55,12:25 13 Mar,13h 30m,1 stop,No info,13817
Air India,01/03/2019,Banglore,New Delhi,05:50,12:15 02 Mar,30h 25m,3 stops,No info,12346
Air India,18/03/2019,Mumbai,Hyderabad,19:30,20:45,1h 15m,non-stop,No info,2050
Vistara,6/06/2019,Kolkata,Banglore,20:20,22:40 07 Jun,26h 20m,1 stop,No info,8662
IndiGo,27/03/2019,Delhi,Cochin,06:40,15:30,8h 50m,1 stop,No info,8574
IndiGo,15/06/2019,Chennai,Kolkata,11:35,14:00,2h 25m,non-stop,No info,3858
IndiGo,12/04/2019,Kolkata,Banglore,11:30,14:05,2h 35m,non-stop,No info,4174
Jet Airways,12/05/2019,Kolkata,Banglore,21:10,04:40 13 May,7h 30m,1 stop,In-flight meal not included,8586
